URMAS REINSALU; IE; 2398
HELIR-VALDOR SEEDER; IE; 1265
AIVAR KOKK; IE; 1369
PRIIT SIBUL; IE; 631
RIINA SOLMAN; IE; 904
TÕNIS LUKAS; IE; 993
ANDRES METSOJA; IE; 705
RAIMOND KALJULAID; SDE; 1151
JEVGENI OSSINOVSKI; SDE; 1474
HELMEN KÜTT; SDE; 949
KRISTA ARU; SDE; 660
ANTI ALLAS; SDE; 955
REILI RAND; SDE; 845
TRIIN TOOMESAAR; SDE; 479
EDUARD ODINETS; SDE; 331
HELJO PIKHOF; SDE; 524
SVEN MIKSER; SDE; 422
HENN PÕLLUAAS; EKRE; 1849
RAIN EPLER; EKRE; 835
MART HELME; EKRE; 1550
MARTIN HELME; EKRE; 1317
EVELIN POOLAMETS; EKRE; 253
JAAK VALGE; EKRE; 613
HELLE-MOONIKA HELME; EKRE; 1085
KALLE GRÜNTHAL; EKRE; 378
ZÜLEYXA IZMAILOVA; EE200; 705
MAREK REINAAS; EE200; 1427
LIISA-LY PAKOSTA; EE200; 1160
LAURI HUSSAR; EE200; 2251
TOOMAS UIBO; EE200; 1556
GRIGORE-KALEV STOICESCU; EE200; 2428
ANDO KIVIBERG; EE200; 1075
IRJA LUTSAR; EE200; 2295
TANEL TEIN; EE200; 758
IGOR TARO; EE200; 1925
KADRI TALI; EE200; 1066
HENDRIK JOHANNES TERRAS; EE200; 502
TARMO TAMM; EE200; 482
PEETER TALI; EE200; 709
MAKSIM ILJIN; EE200; 505
DIANA INGERAINEN; EE200; 623
JUKU-KALLE RAID; EE200; 807
GEA KANGILASKI; EE200; 596
LIINA KERSNA; REF; 2625
URMAS KRUUSE; REF; 4249
JÜRGEN LIGI; REF; 3736
SIIM KALLAS; REF; 5153
PÄRTEL-PEETER PERE; REF; 1206
HANAH LAHE; REF; 827
KARMEN JOLLER; REF; 2684
ANDRES SUTT; REF; 2580
VALDO RANDPERE; REF; 833
MARIS LAURI; REF; 3016
VILJA TOOMAST; REF; 802
MARKO MIHKELSON; REF; 1957
AIVAR SÕERD; REF; 896
MARIO KADASTIK; REF; 765
KRISTINA ŠMIGUN-VÄHI; REF; 700
TIMO SUSLOV; REF; 669
URVE TIIDUS; REF; 1413
KATRIN KUUSEMÄE; REF; 468
MEELIS KIILI; REF; 795
PIPI-LIIS SIEMANN; REF; 1643
LUISA RÕIVAS; REF; 1842
YOKO ALENDER; REF; 1427
ANTS LAANEOTS; REF; 1148
EERIK-NIILES KROSS; REF; 983
ANNELY AKKERMANN; REF; 2639
TOOMAS KIVIMÄGI; REF; 2318
LAURA KIVISELG; REF; 755
ERKKI KELDO; REF; 986
SIGNE KIVI; REF; 828
KRISTO ENN VAGA; REF; 450
ANDRUS SEEME; REF; 452
ANTI HAUGAS; REF; 375
MAIT KLAASSEN; REF; 621
ÕNNE PILLAK; REF; 389
IRINA TALVISTE; REF; 239
JÜRI JAANSON; REF; 567
MIHKEL LEES; REF; 686
TOOMAS JÄRVEOJA; REF; 1122
MADIS TIMPSON; REF; 642
MARGIT SUTROP; REF; 771
MATI RAIDMA; REF; 598
IVI EENMAA; REF; 245
JEVGENI KRIŠTAFOVITŠ; REF; 374
JAANUS TAMKIVI; REF; 537
AIVAR VIIDIK; REF; 729
INDREK KESKÜLA; REF; 281
ENN LISTRA; REF; 411
EERO MERILIND; REF; 625
RAIMOND TAMM; REF; 626
VADIM BELOBROVTSEV; KESK; 859
LAURI LAATS; KESK; 1490
JÜRI RATAS; KESK; 2998
ESTER KARUSE; KESK; 570
JAANUS KARILAID; KESK; 754
TANEL KIIK; KESK; 815
ALEKSEI JEVGRAFOV; KESK; 339
TÕNIS MÖLDER; KESK; 194
JAAK AAB; KESK; 593