PRIIT SIBUL, IE, 789
RIINA SOLMAN, IE, 869
ANDRES METSOJA, IE, 902
HEIKI HEPNER, IE, 519
MART MAASTIK, IE, 441
ALAR KARU, IE, 286
LEA DANILSON-JÄRG, IE, 201
KRISTJAN JÄRVAN, IE, 141
RAIMOND KALJULAID, SDE, 668
JEVGENI OSSINOVSKI, SDE, 963
MADIS KALLAS, SDE, 1058
HELMEN KÜTT, SDE, 1149
ANTI ALLAS, SDE, 1015
LAURI LÄÄNEMETS, SDE, 822
RIINA SIKKUT, SDE, 890
MART HELME, EKRE, 4580
VARRO VOOGLAID, EKRE, 1894
RENE KOKK, EKRE, 728
RAUL SIEM, EKRE, 381
KRISTJAN MOORA, EKRE, 885
ANTI POOLAMETS, EKRE, 1958
KALLE GRÜNTHAL, EKRE, 1120
KERT KINGO, EKRE, 2339
PEETER ERNITS, EKRE, 2067
JAAK VALGE, EKRE, 1727
SILVER KUUSIK, EKRE, 651
ANTS FROSCH, EKRE, 1970
HELEN REBANE, EKRE, 928
ALAR LANEMAN, EKRE, 1337
EVELIN POOLAMETS, EKRE, 715
ARVO ALLER, EKRE, 538
EEVA HELME, EKRE, 1152
URMAS REITELMANN, EKRE, 1051
MERRY AART, EKRE, 628
MARKUS JÄRVI, EKRE, 715
RUDOLF JEESER, EKRE, 343
KRISTEL MENNING, EKRE, 338
MATI KUKLANE, EKRE, 772
DANIEL MEREÄÄR, EKRE, 468
VALMAR HAAVA, EKRE, 484
IVAN MAKAROV, EKRE, 508
LOONE OTS, EKRE, 650
MAREK REINAAS, EE200, 663
MARGUS TSAHKNA, EE200, 1006
LAURI HUSSAR, EE200, 1092
TOOMAS UIBO, EE200, 864
GRIGORE-KALEV STOICESCU, EE200, 1236
KRISTINA KALLAS, EE200, 1588
HENDRIK JOHANNES TERRAS, EE200, 269
KADRI TALI, EE200, 1026
TARMO TAMM, EE200, 394
DIANA INGERAINEN, EE200, 310
KAJA KALLAS, REF, 8773
KRISTEN MICHAL, REF, 2599
SIGNE RIISALO, REF, 1115
SIIM KALLAS, REF, 2240
HEIDY PURGA, REF, 1095
MARIS LAURI, REF, 1069
MARKO MIHKELSON, REF, 683
TIMO SUSLOV, REF, 364
AIVAR SÕERD, REF, 352
KALLE LAANET, REF, 1530
HANNO PEVKUR, REF, 2311
JÜRGEN LIGI, REF, 2061
URMAS KRUUSE, REF, 1986
ANTS LAANEOTS, REF, 721
LIINA KERSNA, REF, 1448
TOOMAS KIVIMÄGI, REF, 1781
ERKKI KELDO, REF, 459
KARMEN JOLLER, REF, 882
EERIK-NIILES KROSS, REF, 445
MART VÕRKLAEV, REF, 265
VILJA TOOMAST, REF, 403
YOKO ALENDER, REF, 624
SIGNE KIVI, REF, 458
VADIM BELOBROVTSEV, KESK, 2372
ANASTASSIA KOVALENKO-KÕLVART, KESK, 2097
ALEKSANDR TŠAPLÕGIN, KESK, 1532
MARIA JUFEREVA-SKURATOVSKI, KESK, 618
TÕNIS MÖLDER, KESK, 376
ARKADI POPOV, KESK, 884
VLADIMIR ARHIPOV, KESK, 829
JAANUS KARILAID, KESK, 1408
SIRET KOTKA, KESK, 1015
ALEKSEI JEVGRAFOV, KESK, 1066
JAAK AAB, KESK, 969
TAAVI AAS, KESK, 1096
JAAN TOOTS, KESK, 405
ESTER KARUSE, KESK, 1107
ANDREI KOROBEINIK, KESK, 1366
ANDRE HANIMÄGI, KESK, 306
KERSTI SARAPUU, KESK, 438
ENN EESMAA, KESK, 505
DMITRI DMITRIJEV, KESK, 613
TARMO TAMM, KESK, 822
OLEG SILJANOV, KESK, 914
VLADIMIR AFANASJEV, KESK, 321
TRIIN VAREK, KESK, 688
TIIT TERIK, KESK, 502
AIVO PETERSON, EÜVP, 3376
MIHHAIL STALNUHHIN, ÜKSIK, 3775