URMAS REINSALU, IE, 4509
HELIR-VALDOR SEEDER, IE, 2689
AIVAR KOKK, IE, 3136
PRIIT SIBUL, IE, 1420
RIINA SOLMAN, IE, 1773
TÕNIS LUKAS, IE, 2218
ANDRES METSOJA, IE, 1607
MART MAASTIK, IE, 855
RAIMOND KALJULAID, SDE, 1819
JEVGENI OSSINOVSKI, SDE, 2437
HELMEN KÜTT, SDE, 2098
HELJO PIKHOF, SDE, 1242
ANTI ALLAS, SDE, 1970
TIIT MARAN, SDE, 709
REILI RAND, SDE, 1361
EDUARD ODINETS, SDE, 630
PRIIT LOMP, SDE, 1030
VARRO VOOGLAID, EKRE, 2509
LEO KUNNAS, EKRE, 3390
MARTIN HELME, EKRE, 4606
HENN PÕLLUAAS, EKRE, 5781
SIIM POHLAK, EKRE, 4223
HELLE-MOONIKA HELME, EKRE, 3529
ANTI POOLAMETS, EKRE, 2831
KERT KINGO, EKRE, 3095
JAAK VALGE, EKRE, 2340
RAIN EPLER, EKRE, 3366
ANTS FROSCH, EKRE, 2619
MART HELME, EKRE, 6130
ALAR LANEMAN, EKRE, 1802
EVELIN POOLAMETS, EKRE, 968
ARVO ALLER, EKRE, 815
RENE KOKK, EKRE, 1016
KALLE GRÜNTHAL, EKRE, 1498
MAREK REINAAS, EE200, 2090
LAURI HUSSAR, EE200, 3343
TOOMAS UIBO, EE200, 2420
GRIGORE-KALEV STOICESCU, EE200, 3664
IRJA LUTSAR, EE200, 3523
IGOR TARO, EE200, 3275
KADRI TALI, EE200, 2092
HENDRIK JOHANNES TERRAS, EE200, 771
TARMO TAMM, EE200, 876
PEETER TALI, EE200, 1159
LIISA-LY PAKOSTA, EE200, 1731
ZÜLEYXA IZMAILOVA, EE200, 1011
JUKU-KALLE RAID, EE200, 1281
TANEL TEIN, EE200, 1368
JÜRGEN LIGI, REF, 5797
SIIM KALLAS, REF, 7393
PÄRTEL-PEETER PERE, REF, 1474
KARMEN JOLLER, REF, 3566
ANDRES SUTT, REF, 3315
MARIS LAURI, REF, 4085
VILJA TOOMAST, REF, 1205
MARKO MIHKELSON, REF, 2640
AIVAR SÕERD, REF, 1248
TIMO SUSLOV, REF, 1033
KRISTINA ŠMIGUN-VÄHI, REF, 1005
MARIO KADASTIK, REF, 962
MEELIS KIILI, REF, 1289
PIPI-LIIS SIEMANN, REF, 2498
URMAS KRUUSE, REF, 6235
LUISA RÕIVAS, REF, 2939
YOKO ALENDER, REF, 2051
ANTS LAANEOTS, REF, 1869
LIINA KERSNA, REF, 4073
MAIDO RUUSMANN, REF, 1500
ANNELY AKKERMANN, REF, 4381
TOOMAS KIVIMÄGI, REF, 4099
ERKKI KELDO, REF, 1445
EERIK-NIILES KROSS, REF, 1428
SIGNE KIVI, REF, 1286
KRISTO ENN VAGA, REF, 591
ANDRUS SEEME, REF, 723
ANTI HAUGAS, REF, 569
MAIT KLAASSEN, REF, 968
ÕNNE PILLAK, REF, 542
HANAH LAHE, REF, 1050
MATI RAIDMA, REF, 892
URVE TIIDUS, REF, 2085
KATRIN KUUSEMÄE, REF, 662
VALDO RANDPERE, REF, 1169
EERO MERILIND, REF, 868
MARGIT SUTROP, REF, 1102
JÜRI RATAS, KESK, 7672
VADIM BELOBROVTSEV, KESK, 3231
ANASTASSIA KOVALENKO-KÕLVART, KESK, 2806
ALEKSANDR TŠAPLÕGIN, KESK, 1809
MARIA JUFEREVA-SKURATOVSKI, KESK, 822
LAURI LAATS, KESK, 5984
ESTER KARUSE, KESK, 1677
ANDREI KOROBEINIK, KESK, 1973
JAANUS KARILAID, KESK, 2162
TANEL KIIK, KESK, 2070
TÕNIS MÖLDER, KESK, 570
JAAK AAB, KESK, 1562
ANDRE HANIMÄGI, KESK, 466
ALEKSEI JEVGRAFOV, KESK, 1405
KERSTI SARAPUU, KESK, 685
ENN EESMAA, KESK, 774